"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ModelMetrics","ModelMetrics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"modelr","modelr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"modeltools","modeltools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"moments","moments","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.14",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"multcomp","multcomp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-16",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"multcompView","multcompView","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-8",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.0.0"
"MuMIn","MuMIn","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.43.17",NA,"R (>= 3.5.0)","graphics, methods, Matrix, stats, stats4, nlme",NA,"lme4 (>= 1.1.0), mgcv (>= 1.7.5), gamm4, MASS, nnet, survival
(>= 3.1.0), geepack","aod, aods3, betareg, caper, coxme, cplm, gee, glmmML,
logistf, MCMCglmm, ordinal, pscl, spdep, spatialreg, splm,
unmarked (>= 0.12.2), geeM (>= 0.7.5), gamlss","GPL-2",NA,NA,NA,NA,"no","4.0.0"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-2",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"MyTemplates","MyTemplates","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,NA,NA,NA,NA,"What license is it under?",NA,NA,NA,NA,"no","4.0.3"
"naniar","naniar","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.0",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble (>= 2.0.0), magrittr,
stats, visdat, rlang, forcats, viridis, glue, UpSetR",NA,"knitr, rmarkdown, testthat (>= 2.1.0), rpart, rpart.plot,
covr, gridExtra, wakefield, vdiffr, here, simputation,
imputeTS, gdtools, Hmisc, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"NbClust","NbClust","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"networkD3","networkD3","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"nFactors","nFactors","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.1",NA,"R (>= 3.5.0), lattice","stats, MASS, psych",NA,"testthat",NA,"GPL (>= 3.5.0)",NA,NA,NA,NA,"no","4.0.0"
"nleqslv","nleqslv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1-152","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.2"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"NLP","NLP","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-1",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.0.2"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","7.3-15","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"nonnest2","nonnest2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5-5",NA,"R (>= 3.0.0)","CompQuadForm, mvtnorm, lavaan (>= 0.6-6), sandwich",NA,"mirt (>= 1.26.3), AER, MASS, faraway, mlogit, ordinal, pscl,
knitr, rmarkdown, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"npmlreg","npmlreg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.46-5",NA,"R (>= 2.3.1)","statmod (>= 1.4.20)",NA,"MASS, nlme, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"numDeriv","numDeriv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"officer","officer","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.19",NA,NA,"R6, grDevices, stats, graphics, utils, zip (>= 2.1.0), uuid
(>= 0.1-4), xml2 (>= 1.1.0)",NA,"testthat, devEMF, ggplot2, rmarkdown, base64enc, knitr, rsvg",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"omics","omics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-5",NA,"R (>= 3.0.0), methods","lme4, pheatmap",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"OpenMx","OpenMx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.19.1",NA,"R (>= 3.5.0)","digest, MASS, Matrix, methods, Rcpp, parallel, lifecycle","Rcpp, RcppEigen, StanHeaders (>= 2.10.0.2), BH (>=
1.69.0-1), rpf (>= 0.45)","mvtnorm, numDeriv, roxygen2 (>= 6.1), Rmpi, rpf (>= 0.45),
snowfall, lme4, covr, testthat, umx, ifaTools",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.0.2"
"openNLP","openNLP","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-7",NA,NA,"NLP (>= 0.1-6.3), openNLPdata (>= 1.5.3-1), rJava (>= 0.6-3)",NA,"openNLPmodels.en",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"openNLPdata","openNLPdata","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.3-4",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.4",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.2.3",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"optimx","optimx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2021-6.12",NA,NA,"numDeriv",NA,"knitr, rmarkdown, markdown, setRNG, BB, ucminf, minqa,
dfoptim, lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"packrat","packrat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pacman","pacman","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"pagedown","pagedown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.13",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.18), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"palmerpenguins","palmerpenguins","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.0.2"
"pander","pander","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.3",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"papaja","papaja","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0.9942",NA,"R (>= 2.11.1)","base64enc, bookdown (>= 0.9.1), broom (>= 0.5.2.9001), knitr
(>= 1.26), methods, rmarkdown (>= 2.0), rmdfiltr (>= 0.1.2),
yaml, zip",NA,"tinytex, afex, BayesFactor, beeswarm, boot, car, carData,
downloader, dplyr, emmeans, ggplot2, latex2exp, lsmeans, MBESS,
multcomp, testthat, skimr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.1"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"parallelly","parallelly","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.31.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"parameters","parameters","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.17.0",NA,"R (>= 3.4)","bayestestR (>= 0.11.5), datawizard (>= 0.2.3), insight (>=
0.16.0), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, biglm,
blme, boot, brglm2, brms, broom, cAIC4, car, cgam,
ClassDiscovery, clubSandwich, cluster, cplm, dbscan, drc, DRR,
effectsize (>= 0.5.0), EGAnet (>= 0.7), emmeans (>= 1.7.0),
factoextra, FactoMineR, fastICA, fixest, fpc, gam, gamlss, gee,
geepack, ggplot2, GLMMadaptive, glmmTMB, GPArotation, gt, httr,
ivprobit, ivreg, knitr, lavaan, lavaSearch2, lfe, lm.beta,
lme4, lmerTest, lmtest, logspline, lqmm, M3C, magrittr, MASS,
Matrix, mclust, MCMCglmm, mediation, metaBMA, metafor, mfx,
mgcv, mice, multcomp, MuMIn, NbClust, nFactors, nlme, nnet,
openxlsx, ordinal, panelr, pbkrtest, PCDimension, performance
(>= 0.8.0), plm, PMCMRplus, poorman, PROreg, projpred, pscl,
psych, pvclust, quantreg, randomForest, rmarkdown, rstanarm,
sandwich, see (>= 0.6.8), sjstats, spelling, survey, survival,
testthat, TMB, tripack, truncreg, VGAM, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"party","party","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3-7",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp, randomForest",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"partykit","partykit","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2-13",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"patchwork","patchwork","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pbapply","pbapply","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-3",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"pbivnorm","pbivnorm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"PearsonDS","PearsonDS","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1",NA,NA,NA,NA,"gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"performance","performance","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.0",NA,"R (>= 3.4)","insight (>= 0.11.0), bayestestR (>= 0.7.5), stats, utils",NA,"AER, BayesFactor, betareg, bigutilsr, brms, car,
CompQuadForm, correlation, covr, cplm, dbscan, fixest,
forecast, ggplot2, gridExtra, glmmTMB, ICS, ICSOutlier, lavaan,
lme4, lmtest, loo, Matrix, MASS, metafor, mgcv, mlogit, nlme,
nonnest2, ordinal, parallel, parameters, pscl, psych,
randomForest, rmarkdown, rstanarm, rstantools, sandwich, see,
survey, survival, testthat, tweedie, VGAM, spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pheatmap","pheatmap","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"phonR","phonR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-7",NA,"R (>= 2.10)","splancs, deldir, plotrix, stats, grDevices, graphics",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.0",NA,NA,"cli (>= 2.3.0), crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi,
glue, lifecycle, rlang (>= 0.3.0), utf8 (>= 1.1.0), utils,
vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.4",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"plotfunctions","plotfunctions","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4",NA,"R (>= 2.10)",NA,NA,"knitr, sp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"plotly","plotly","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.9.3",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr, RColorBrewer, dplyr, vctrs,
tibble, lazyeval (>= 0.2.0), rlang, crosstalk, purrr,
data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, vdiffr, Cairo, broom, webshot, listviewer,
dendextend, sf, maptools, rgeos, png, IRdisplay, processx,
plotlyGeoAssets, forcats, palmerpenguins",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"plotmo","plotmo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.6.0",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix, TeachingDemos",NA,NA,"C50 (>= 0.1.0-24), earth (>= 5.1.2), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-51), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-15), rpart.plot (>= 3.0.8)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"plotrix","plotrix","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.8-1",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"pls","pls","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.7-3",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"PMCMR","PMCMR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.3",NA,"R (>= 3.0.0), stats, base",NA,NA,"multcompView, xtable, graphics",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"PMCMRplus","PMCMRplus","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.9.0",NA,"R (>= 3.5.0)","mvtnorm (>= 1.0), multcompView, gmp, Rmpfr, SuppDists,
kSamples (>= 1.2.7), BWStest (>= 0.2.1), MASS",NA,"xtable, graphics, knitr, rmarkdown, car, e1071, multcomp,
pwr, NSM3",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"png","png","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"polspline","polspline","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.19",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"polyclip","polyclip","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.0.0"
"polynom","polynom","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"posterdown","posterdown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0",NA,NA,"pagedown, rmarkdown, yaml",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"ppcor","ppcor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1",NA,"R (>= 2.6.0), MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"pracma","pracma","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3.3",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"praise","praise","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"printy","printy","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.0.9003",NA,"R (>= 3.4.0)","magrittr, stringr, lme4, dplyr, tidyr, stats, tibble, scales
(>= 1.1.0), broom, glue, broom.mixed, rlang (>= 0.1.2),
parameters, purrr",NA,"testthat, pbkrtest, roxygen2",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pROC","pROC","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.17.0.1",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"processx","processx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.5.3",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.0), cli (>= 1.1.0), codetools, covr, curl,
debugme, parallel, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"prodlim","prodlim","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"progress","progress","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"projpred","projpred","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.2",NA,"R (>= 3.5.0)","methods, dplyr, loo (>= 2.0.0), rstantools (>= 2.0.0), lme4,
optimx, ggplot2, Rcpp, utils, rngtools (>= 1.2.4), tidyverse,
MASS, magrittr, mgcv, gamm4","Rcpp, RcppArmadillo","rstanarm, brms, testthat, knitr, rmarkdown, glmnet, bayesplot
(>= 1.5.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"promises","promises","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"proxy","proxy","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4-25",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"pryr","pryr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.5",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0), lobstr","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"ps","ps","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.0",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"psych","psych","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.3",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"psycho","psycho","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.1",NA,"R (>= 3.5.0)","stats, scales, utils, dplyr, stringr, ggplot2, insight,
bayestestR, parameters, effectsize",NA,"knitr, rmarkdown, testthat, covr, GPArotation",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
